n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,project,estimator,n_properties,areas
796,8.89,18.0,27.67,5.0,6.6,4000.0,14.16,casa aura residence,A,1,Madinat Al Mataar
796,8.81,17.46,29.52,-0.3,1.32,3352.0,12.68,casa aura residence,B,1,Madinat Al Mataar
796,8.78,17.58,29.44,-0.22,1.45,3346.0,12.7,casa aura residence,C,1,Madinat Al Mataar
796,9.09,17.65,27.27,5.0,6.27,4000.0,14.09,casa aura residence,D,1,Madinat Al Mataar
326,20.64,39.21,64.23,0.23,4.37,45000.0,28.89,cayan tower,A,1,Marsa Dubai
326,24.04,44.08,66.38,8.97,12.71,53098.0,32.35,cayan tower,B,1,Marsa Dubai
326,24.13,44.39,66.24,9.39,13.18,53545.0,32.59,cayan tower,C,1,Marsa Dubai
326,20.05,38.59,64.29,0.0,3.93,45150.0,28.78,cayan tower,D,1,Marsa Dubai
9316,11.11,18.75,26.51,5.56,6.45,10000.0,15.19,creek beach orchid,A,3,Al Khairan First
9316,9.75,16.69,26.82,3.35,5.25,9654.0,14.97,creek beach orchid,B,3,Al Khairan First
9316,10.16,16.85,26.51,3.75,5.48,9792.0,15.03,creek beach orchid,C,3,Al Khairan First
9316,11.11,18.75,25.93,5.26,6.1,10000.0,15.0,creek beach orchid,D,3,Al Khairan First
8399,11.76,18.92,30.0,5.56,6.47,13000.0,15.93,creek edge,A,3,Al Khairan First
8399,11.08,18.52,32.35,4.61,5.95,12362.0,15.84,creek edge,B,3,Al Khairan First
8399,11.07,18.61,32.35,4.83,6.2,12332.0,15.91,creek edge,C,3,Al Khairan First
8399,11.11,19.3,29.63,5.26,6.14,12117.0,15.81,creek edge,D,3,Al Khairan First
7201,12.0,18.75,27.78,5.56,6.26,13000.0,15.43,creek gate tower 2,A,3,Al Khairan First
7201,12.58,20.53,32.87,8.68,10.7,13639.0,17.37,creek gate tower 2,B,3,Al Khairan First
7201,12.75,20.53,33.28,8.74,10.85,13805.0,17.44,creek gate tower 2,C,3,Al Khairan First
7201,11.76,18.75,28.03,5.26,5.94,12000.0,15.27,creek gate tower 2,D,3,Al Khairan First
9083,13.04,20.78,29.63,5.26,4.42,15000.0,16.5,creek rise tower 1,A,4,Al Khairan First
9083,16.75,26.45,37.72,12.64,12.51,19768.0,20.33,creek rise tower 1,B,4,Al Khairan First
9083,16.75,26.65,37.72,12.78,12.77,19914.0,20.48,creek rise tower 1,C,4,Al Khairan First
9083,13.04,20.47,29.63,4.96,4.22,15000.0,16.41,creek rise tower 1,D,4,Al Khairan First
5867,16.13,28.1,44.39,6.3,8.34,15000.0,20.77,damac majestine,A,3,Business Bay
5867,16.67,30.0,45.95,8.74,11.02,16611.0,21.84,damac majestine,B,3,Business Bay
5867,16.67,30.36,46.24,9.11,11.42,16611.0,22.02,damac majestine,C,3,Business Bay
5867,16.07,27.9,44.19,5.83,7.97,15000.0,20.63,damac majestine,D,3,Business Bay
1625,11.69,24.44,35.05,2.26,4.53,6500.0,16.96,divine elements,A,2,Madinat Al Mataar
1625,14.13,23.45,36.45,-0.23,3.7,7329.0,18.54,divine elements,B,2,Madinat Al Mataar
1625,14.01,23.5,36.4,-0.14,3.66,7215.0,18.46,divine elements,C,2,Madinat Al Mataar
1625,11.69,24.44,34.3,2.26,4.34,6500.0,16.91,divine elements,D,2,Madinat Al Mataar
3461,16.67,27.97,39.6,1.06,4.3,12400.0,20.79,divine living,A,3,Al Barshaa South Third
3461,17.6,28.54,42.41,3.4,7.03,12798.0,21.87,divine living,B,3,Al Barshaa South Third
3461,17.47,28.4,42.88,3.68,7.26,12792.0,21.93,divine living,C,3,Al Barshaa South Third
3461,16.67,28.02,39.54,0.57,4.27,12150.0,20.77,divine living,D,3,Al Barshaa South Third
3361,12.5,22.4,43.59,6.56,8.18,15000.0,17.25,dubai creek residence tower 2 north,A,1,Al Khairan First
3361,11.12,20.77,39.24,2.69,4.84,14434.0,16.14,dubai creek residence tower 2 north,B,1,Al Khairan First
3361,10.94,20.9,39.24,2.81,4.94,14672.0,16.16,dubai creek residence tower 2 north,C,1,Al Khairan First
3361,12.37,21.92,43.48,6.56,7.82,15000.0,17.16,dubai creek residence tower 2 north,D,1,Al Khairan First
184,18.27,33.2,42.86,3.34,9.84,25603.0,24.54,ellington beach house,A,1,Palm Jumeirah
184,16.64,28.71,41.21,-4.97,1.14,21901.0,22.87,ellington beach house,B,1,Palm Jumeirah
184,16.32,28.94,40.8,-4.29,1.95,22053.0,22.86,ellington beach house,C,1,Palm Jumeirah
184,18.48,31.84,42.86,2.58,9.41,25000.0,24.39,ellington beach house,D,1,Palm Jumeirah
564,12.0,21.57,30.2,2.7,3.39,10000.0,15.11,emerge residences,A,3,Nad Al Shiba First
564,14.54,25.68,39.09,5.14,8.3,12565.0,18.82,emerge residences,B,3,Nad Al Shiba First
564,14.54,25.9,39.22,5.62,8.43,12500.0,18.87,emerge residences,C,3,Nad Al Shiba First
564,12.0,21.59,30.32,2.7,3.26,10000.0,15.07,emerge residences,D,3,Nad Al Shiba First
609,15.11,21.78,32.5,-1.82,0.96,8564.0,17.65,evelyn on the park,A,1,Wadi Al Safa 3
609,14.42,22.0,34.09,-7.02,-3.69,7792.0,17.68,evelyn on the park,B,1,Wadi Al Safa 3
609,14.37,22.0,34.09,-6.71,-3.65,7784.0,17.67,evelyn on the park,C,1,Wadi Al Safa 3
609,15.11,21.99,32.42,-2.06,0.89,8488.0,17.65,evelyn on the park,D,1,Wadi Al Safa 3
1206,14.89,27.84,40.74,0.0,5.14,13000.0,20.18,golf edge,A,2,Madinat Al Mataar
1206,14.3,31.57,46.71,7.35,12.34,12459.0,22.43,golf edge,B,2,Madinat Al Mataar
1206,14.26,31.67,46.34,7.2,12.38,12599.0,22.49,golf edge,C,2,Madinat Al Mataar
1206,14.89,27.69,40.74,0.0,5.01,13000.0,20.14,golf edge,D,2,Madinat Al Mataar
2018,20.67,39.43,58.58,-1.3,-0.79,30000.0,27.65,grand bleu tower 1,A,1,Marsa Dubai
2018,25.18,45.9,65.99,9.04,10.1,37986.0,31.58,grand bleu tower 1,B,1,Marsa Dubai
2018,25.82,46.21,66.76,10.21,11.16,38978.0,32.1,grand bleu tower 1,C,1,Marsa Dubai
2018,20.58,39.09,58.55,-1.32,-0.89,30000.0,27.62,grand bleu tower 1,D,1,Marsa Dubai
8197,12.0,18.75,27.27,5.26,5.4,14000.0,15.4,harbour gate,A,3,Al Khairan First
8197,12.5,21.83,32.47,7.49,9.21,14642.0,17.37,harbour gate,B,3,Al Khairan First
8197,12.46,21.94,32.75,7.53,9.38,14744.0,17.41,harbour gate,C,3,Al Khairan First
8197,11.82,18.75,27.27,4.65,5.1,13750.0,15.25,harbour gate,D,3,Al Khairan First
1984,13.33,25.93,39.29,2.58,5.66,22800.0,19.89,harbour views 1,A,1,Al Khairan First
1984,15.1,29.27,44.76,10.23,13.78,28062.0,23.45,harbour views 1,B,1,Al Khairan First
1984,15.09,29.29,44.9,10.37,13.96,28190.0,23.57,harbour views 1,C,1,Al Khairan First
1984,13.33,25.93,39.29,2.58,5.57,22636.0,19.85,harbour views 1,D,1,Al Khairan First
263,12.94,21.95,32.48,-6.25,-0.58,5125.0,19.04,hotel edge by rotana,A,1,Dubai Investment Park First
263,12.84,21.77,32.3,-6.9,-1.04,5176.0,18.98,hotel edge by rotana,B,1,Dubai Investment Park First
263,12.64,21.67,32.16,-6.9,-0.83,5092.0,18.94,hotel edge by rotana,C,1,Dubai Investment Park First
263,13.64,21.95,31.61,-5.26,-0.06,5000.0,19.09,hotel edge by rotana,D,1,Dubai Investment Park First
7563,18.75,33.33,50.0,6.0,8.6,34457.0,25.26,imperial avenue,A,5,Burj Khalifa
7563,22.09,37.63,60.52,14.69,18.62,38899.0,29.6,imperial avenue,B,5,Burj Khalifa
7563,22.15,37.63,60.77,14.8,18.81,39296.0,29.7,imperial avenue,C,5,Burj Khalifa
7563,18.75,33.33,49.63,5.55,8.41,34261.0,25.15,imperial avenue,D,5,Burj Khalifa
