property_id,status,tier,rent,yield
3612,Offplan,NONE,,
4674,Ready,R2,242880.0,6.07
5773,Ready,R4,48960.0,5.31
858,Offplan,NONE,,
7809,Offplan,NONE,,
5574,Ready,R4,65280.0,7.5
7676,Offplan,NONE,,
57,Offplan,NONE,,
1465,Offplan,NONE,,
3711,Offplan,NONE,,
5188,Offplan,NONE,,
1210,Offplan,NONE,,
1681,Offplan,NONE,,
1215,Offplan,NONE,,
6151,Offplan,NONE,,
6088,Unknown,NONE,,
2848,Offplan,NONE,,
6625,Offplan,NONE,,
3923,Offplan,NONE,,
4469,Offplan,NONE,,
4755,Offplan,NONE,,
258,Offplan,NONE,,
4744,Ready,R4,163200.0,3.47
2162,Offplan,NONE,,
6614,Offplan,NONE,,
4474,Offplan,NONE,,
5259,Offplan,NONE,,
4466,Offplan,NONE,,
2286,Offplan,NONE,,
2793,Offplan,NONE,,
1934,Offplan,NONE,,
6931,Offplan,NONE,,
8045,Offplan,NONE,,
3456,Offplan,NONE,,
7420,Offplan,NONE,,
6527,Offplan,NONE,,
2068,Offplan,NONE,,
2784,Offplan,NONE,,
1108,Offplan,NONE,,
2718,Offplan,NONE,,
6807,Offplan,NONE,,
1418,Offplan,NONE,,
2522,Offplan,NONE,,
447,Offplan,NONE,,
1557,Offplan,NONE,,
4731,Offplan,NONE,,
7775,Offplan,NONE,,
7338,Offplan,NONE,,
3021,Offplan,NONE,,
5577,Offplan,NONE,,
5864,Offplan,NONE,,
5437,Offplan,NONE,,
493,Offplan,NONE,,
6883,Offplan,NONE,,
1705,Offplan,NONE,,
3495,Ready,R2,59520.0,9.03
3069,Offplan,NONE,,
4667,Offplan,NONE,,
3754,Offplan,NONE,,
7236,Offplan,NONE,,
3295,Offplan,NONE,,
6446,Ready,NONE,,
5465,Offplan,NONE,,
4168,Offplan,NONE,,
621,Offplan,NONE,,
3666,Ready,R2,121920.0,4.98
3089,Offplan,NONE,,
5588,Offplan,NONE,,
7718,Offplan,NONE,,
6579,Offplan,NONE,,
7682,Ready,R4,72000.0,4.87
329,Offplan,NONE,,
61,Offplan,NONE,,
8056,Offplan,NONE,,
8222,Ready,NONE,,
6237,Offplan,NONE,,
7754,Unknown,NONE,,
6962,Offplan,NONE,,
7323,Offplan,NONE,,
253,Ready,R2,144000.0,6.55
3435,Offplan,NONE,,
5975,Offplan,NONE,,
8291,Offplan,NONE,,
7015,Offplan,NONE,,
436,Offplan,NONE,,
6526,Unknown,NONE,,
2474,Offplan,NONE,,
2538,Offplan,NONE,,
122,Offplan,NONE,,
2326,Ready,R4,98400.0,4.28
3845,Offplan,NONE,,
5991,Offplan,NONE,,
8379,Offplan,NONE,,
4854,Offplan,NONE,,
696,Offplan,NONE,,
5885,Offplan,NONE,,
5880,Offplan,NONE,,
2315,Offplan,NONE,,
7726,Offplan,NONE,,
1153,Offplan,NONE,,
2922,Offplan,NONE,,
5514,Offplan,NONE,,
3834,Ready,R2,182400.0,7.3
2914,Offplan,NONE,,
4018,Offplan,NONE,,
6064,Offplan,NONE,,
7166,Offplan,NONE,,
4928,Offplan,NONE,,
1185,Offplan,NONE,,
7475,Offplan,NONE,,
7898,Offplan,NONE,,
3409,Offplan,NONE,,
1332,Offplan,NONE,,
285,Offplan,NONE,,
4285,Offplan,NONE,,
5120,Offplan,NONE,,
5220,Offplan,NONE,,
7957,Offplan,NONE,,
6024,Offplan,NONE,,
4514,Offplan,NONE,,
3869,Offplan,NONE,,
7965,Offplan,NONE,,
4671,Offplan,NONE,,
5911,Offplan,NONE,,
7454,Offplan,NONE,,
4598,Offplan,NONE,,
2557,Offplan,NONE,,
1577,Offplan,NONE,,
8138,Offplan,NONE,,
7351,Offplan,NONE,,
5945,Ready,R2,72000.0,8.32
5374,Offplan,NONE,,
7960,Offplan,NONE,,
6335,Offplan,NONE,,
4893,Offplan,NONE,,
1029,Offplan,NONE,,
6236,Offplan,NONE,,
1399,Unknown,NONE,,
2391,Offplan,NONE,,
7941,Offplan,NONE,,
2207,Offplan,NONE,,
2947,Offplan,NONE,,
4759,Offplan,NONE,,
5015,Offplan,NONE,,
4979,Offplan,NONE,,
2140,Offplan,NONE,,
3023,Offplan,NONE,,
1926,Offplan,NONE,,
988,Offplan,NONE,,
1014,Offplan,NONE,,
8364,Offplan,NONE,,
3702,Offplan,NONE,,
5511,Offplan,NONE,,
5738,Offplan,NONE,,
8375,Offplan,NONE,,
5987,Ready,NONE,,
2832,Ready,R4,64060.0,5.34
8389,Offplan,NONE,,
6255,Offplan,NONE,,
2924,Offplan,NONE,,
336,Offplan,NONE,,
3030,Unknown,NONE,,
7859,Offplan,NONE,,
4749,Offplan,NONE,,
6081,Offplan,NONE,,
2271,Offplan,NONE,,
2834,Offplan,NONE,,
5386,Offplan,NONE,,
889,Offplan,NONE,,
8083,Offplan,NONE,,
4383,Offplan,NONE,,
4115,Offplan,NONE,,
6992,Offplan,NONE,,
6380,Offplan,NONE,,
559,Offplan,NONE,,
2772,Offplan,NONE,,
7869,Offplan,NONE,,
3090,Offplan,NONE,,
7856,Offplan,NONE,,
7615,Offplan,NONE,,
104,Offplan,NONE,,
5167,Offplan,NONE,,
893,Offplan,NONE,,
5459,Offplan,NONE,,
3097,Ready,R4,96000.0,5.19
6923,Ready,R2,98880.0,5.21
2566,Offplan,NONE,,
8146,Offplan,NONE,,
2696,Offplan,NONE,,
3564,Offplan,NONE,,
6776,Offplan,NONE,,
8213,Offplan,NONE,,
2866,Offplan,NONE,,
3839,Offplan,NONE,,
7893,Offplan,NONE,,
5925,Offplan,NONE,,
1516,Ready,R2,46080.0,7.55
4079,Offplan,NONE,,
2627,Offplan,NONE,,
3938,Offplan,NONE,,
4675,Offplan,NONE,,
1234,Ready,NONE,,
8432,Offplan,NONE,,
3088,Offplan,NONE,,
5275,Offplan,NONE,,
8098,Offplan,NONE,,
5371,Offplan,NONE,,
2284,Offplan,NONE,,
8426,Offplan,NONE,,
3955,Ready,R3,43200.0,6.02
7437,Offplan,NONE,,
8015,Offplan,NONE,,
26,Offplan,NONE,,
1331,Offplan,NONE,,
3962,Ready,R2,78720.0,7.18
7702,Offplan,NONE,,
4937,Offplan,NONE,,
2747,Offplan,NONE,,
793,Ready,R3,43200.0,6.17
67,Offplan,NONE,,
3571,Offplan,NONE,,
