property_id,unit_status,area,project,bedrooms,size_sqft,price_aed,dld_evidence_status,selected_tier,annual_market_rent_estimate,gross_rental_yield,comparable_count,estimation_method,evidence_level,production_eligible,production_signal_source,validation_status,dld_rental_area,warnings,size_sqm,R1_comparables,R1_median_annual,R1_estimate,R1_method,R1_confidence,R1_rejected,R2_comparables,R2_median_annual,R2_estimate,R2_method,R2_confidence,R2_rejected,R3_comparables,R3_median_annual,R3_estimate,R3_method,R3_confidence,R3_rejected,R4_comparables,R4_median_annual,R4_estimate,R4_method,R4_confidence,R4_rejected
5351,offplan,Solaya By Meraas at La Mer,solaya,3.0,3129.0,20600000.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
6824,offplan,Discovery Gardens,the horizon at sobha central,1.0,568.0,1520280.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
5019,offplan,Dubai Design District,the edit at d3,1.0,754.0,2000000.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
8166,offplan,Dubai South,azizi venice buildings 10,2.0,1086.0,1777000.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
4292,offplan,Dubai Science Park,binghatti hills,2.0,1461.0,2429998.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
2797,offplan,Damac Lagoons,damac valencia at damac lagoons,0.0,328.0,612000.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
264,offplan,Business Bay,binghatti skyhall,1.0,835.0,1877000.0,DLD_MATCH,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
5833,offplan,Discovery Gardens,the eden at sobha central,2.0,956.0,2644970.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
2666,ready,Jumeirah village circle,binghatti lavender,2.0,1020.0,1470000.0,DLD_NO_EVIDENCE,R4,80436.74835356104,5.47188764309939,3111.0,median_psf_times_size,AREA_LEVEL,False,NONE,SHADOW_RESEARCH,Al Barsha South Fourth,,94.8,0.0,,,insufficient_data,0.0,True,13.0,100000.0,102050.41624624604,median_psf_times_size,0.65,False,0.0,,,insufficient_data,0.0,True,3111.0,74000.0,80436.74835356104,median_psf_times_size,0.4,False
4892,offplan,Discovery Gardens,the eden at sobha central,1.0,568.0,1585640.0,DLD_MISSING,OFFPLAN_RENTAL_NOT_EVALUATED,,,0.0,,NONE,False,NONE,OFFPLAN_RENTAL_NOT_EVALUATED,,Offplan properties not evaluated for current rent,,,,,,,,,,,,,,,,,,,,,,,,,
