property_id,project,area,qdrant_category,project_match_status,service_charge_status,production_eligible,failure_reason,mollak_project,mollak_community,location_parity,sc_rate_aed_sqft,sc_year,gf_rate,rf_rate,gt_rate,component_match,unit_size_sqft,annual_service_charge_aed,annual_rent_estimate_aed,income_after_service_charges_aed,master_current_price_aed,gross_rental_yield_pct,yield_after_service_charges_pct
7278,Canal Front Residences,Dubai Water Canal,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,913.0,,,,2200000,,
365,Beverly Residence 2,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,460.0,,,,609000,,
3508,The Community Motor City,Dubai Motor City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1446.0,,,,1700000,,
8369,Aura Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,701.0,,,,1100000,,
7656,Concept 7 Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,392.0,,,,601000,,
2061,The Community Motor City,Dubai Motor City,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1077.0,,,,1200000,,
140,Yas Beach Residence,Yas Island,Duplex,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1958.0,,,,2936770,,
4674,MBL Royal,Jumeirah Lake Towers,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2308.0,,,,4000000,,
5773,4Direction Residence 1,Dubai Land Residence Complex,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,832.0,,,,921879,,
5574,Serenity Lakes 2,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,850.0,,,,870000,,
4744,Ahad Residences,Business Bay,Apartment,VERIFIED_EXACT,VERIFIED_CALCULABLE,True,,Ahad Residences,Business Bay,True,20.26,2026.0,18.15,2.11,20.26,True,2308.0,46760.08,163200.0,116439.92,4700000,3.47,2.48
3495,Mayas Geneva,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,527.0,,,,659000,,
6446,Yas Beach Residence,Yas Island,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2698.0,,,,4181200,,
3666,Sunrise Bay,EMAAR Beachfront,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,733.0,,,,2450000,,
7682,Stax,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1086.0,,,,1478737,,
8222,Flow Residences,Dubai Islands,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,844.0,,,,1930000,,
253,The Paragon by IGO,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1222.0,,,,2200000,,
2326,Binghatti Royale,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1618.0,,,,2300000,,
3834,MBL Royal,Jumeirah Lake Towers,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1460.0,,,,2500000,,
5945,The Paragon by IGO,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,416.0,,,,865000,,
5987,Yas Beach Residence,Yas Island,دوبلكس,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2724.0,,,,4358910,,
2832,Westwood Grande Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,806.0,,,,1200000,,
3097,Catch Residence by IGO,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1545.0,,,,1850000,,
6923,Luma22,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1258.0,,,,1896980,,
1516,Azizi Amber,Al Furjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,378.0,,,,609999,,
1234,Yas Beach Residence,Yas Island,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,2173.0,,,,3257930,,
3955,Stax,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,393.0,,,,717470,,
